name,partition,description,value,voices
Cimbel,,,"3 st.","<table border="0""> <tbody> <tr> <td> <p>C</p> <p>3/16</p> <p>3/20</p> <p>1/8</p> </td> <td> <p>F</p> <p>1/4</p> <p>1/5</p> <p>1/6</p> </td> <td> <p>c</p> <p>3/8</p> <p>3/10</p> <p>1/4</p> </td> <td> <p>f</p> <p>1/2</p> <p>2/5</p> <p>1/3</p> </td> <td> <p>c1</p> <p>3/4</p> <p>3/5</p> <p>1/2</p> </td> <td> <p>f1</p> <p>1</p> <p>4/5</p> <p>2/3</p> </td> <td> <p>c2</p> <p>1 1/3</p> <p>1 1/5</p> <p>1</p> </td> <td> <p>f2</p> <p>2</p> <p>1 3/5</p> <p>1 1/3</p> </td> <td> <p>c3</p> <p>2 2/3</p> <p>2 2/3</p> <p>2</p> </td> </tr> </tbody> </table>""
Trompet,,,8',NULL
Hautbois,,,8',NULL
"Vox Humana",,Vernieuwd.,8',NULL
Principaal,,,22',NULL
Praestant,,,16',NULL
Rohrquint,,,12',NULL
Octaav,,,8',NULL
Quinta,,,6',NULL
Octaav,,,4',NULL
Nachthoorn,,,2',NULL
Ruyschpyp,,,"3 st.","<p>C</p> <p>2 2/3</p> <p>2</p> <p>1 1/3</p>"
Mixtuur,,,"8 st.","<table border="0""> <tbody> <tr> <td> <p>C</p> <p>1 1/3</p> <p>1</p> <p>2/3</p> <p>1/2</p> <p>1/3</p> <p>1/4</p> <p>1/6</p> <p>1/6</p> </td> <td> <p>G</p> <p>2</p> <p>1 1/3</p> <p>1</p> <p>2/3</p> <p>1/2</p> <p>1/3</p> <p>1/4</p> <p>1/4</p> </td> <td> <p>c</p> <p>2 2/3</p> <p>2</p> <p>1 1/3</p> <p>1</p> <p>2/3</p> <p>1/2</p> <p>1/3</p> <p>1/3</p> </td> <td> <p>g</p> <p>4</p> <p>2 2/3</p> <p>2</p> <p>1 1/3</p> <p>1</p> <p>2/3</p> <p>1/2</p> <p>1/2</p> </td> <td> <p>c1</p> <p>4</p> <p>2 2/3</p> <p>2</p> <p>1 1/3</p> <p>1</p> <p>1</p> <p>2/3</p> <p>2/3</p> </td> </tr> </tbody> </table>""
Basuin,,,16',NULL
Trompet,,,8',NULL
Trompet,,,4',NULL
Cornet,,,2',NULL
"Praestant D",D,,8',NULL
Holpijp,,,8',NULL
Quint,,,3',NULL
Praestant,,,4',NULL
Fluit,,,4',NULL
Octaav,,,2',NULL
"Sexquialter D",D,"vanaf cis1, tertskoor stom gemaakt","2 st.","<p>cis1: 2&nbsp; 2/3 - 1&nbsp; 3/5</p>"
Mixtuur,,"van c-b1 zijn de twee hoogste koren stom gemaakt van c2-c3 is het hoogste koor stom gemaakt","4 st.","<table style="width: 200px;""> <tbody> <tr> <td style=""width: 32px;"">C<br>1<br>2/3<br>1/2<br>1/3<br><br></td> <td style=""width: 38px;"">c<br>1 1/3<br>1<br>2/3<br>1/2<br><br></td> <td style=""width: 40.4167px;"">c1<br>2<br>1 1/3<br>1<br>2/3<br><br></td> <td style=""width: 60.5833px;"">c2<br>2 2/3<br>2<br>1 1/3<br>1<br><br></td> </tr> </tbody> </table> <p>&nbsp;</p>""
Prestant,,"Staat van C-d in het front, het vervolg staat op de lade",8,NULL
Bourdon,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal.",8,NULL
Salicet,,"C-G staan in het front, Gis-c afgevoerd achter het front en cis-f³ op de lade. De binnenpijpen zijn voorzien van expressions.",8,NULL
Octaaf,,,4,NULL
Fluit,,"C-f zijn gedekt, fis-b zijn voorzien van roeren, de discant is open.",4,NULL
Quint,,,3,NULL
Octaaf,,,2,NULL
"Cornet D",D,"Het acht-voetskoor is open, het overige pijpwerk is cilindrisch, open.","4 st.","<table style="width: 200px;""> <tbody> <tr> <td> <table style=""width: 200px;""> <tbody> <tr> <td>c1<br>8<br>4<br>2 2/3<br>1 3/5</td> </tr> </tbody> </table> <p>&nbsp;</p> </td> </tr> </tbody> </table>""
Trompet,,"Metalen stevels en koppen.",8,NULL
Holpijp,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal (gedekt).",8,NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp.",8,NULL
Roerfluit,,"Van C-h voorzien van roeren, de overige pijpen zijn open, conisch.",4,NULL
Salicet,,"Is geheel voorzien van expressions.",4,NULL
Prestant,,"C-d staan in het front, het vervolg staat op de lade.",8',NULL
Bourdon,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal.",8',NULL
Salicet,,"C-G staan in het front, Gis-c afgevoerd achter het front en cis-f³ op de lade. De binnenpijpen zijn voorzien van expressions.",8',NULL
Octaaf,,,4',NULL
Fluit,,"C-f zijn gedekt, fis-b zijn voorzien van roeren, de discant is open.",4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
"Cornet D",,"Heeft metalen stevels en koppen.","4 st.",NULL
Holpijp,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal (gedekt).",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp.",8',NULL
Roerfluit,,"Van C-h voorzien van roeren, de overige pijpen zijn open, conisch.",4',NULL
Salicet,,"Is geheel voorzien van expressions.",4',NULL
Prestant,,"C-d staan in het front, het vervolg staat op de lade.",8',NULL
Bourdon,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal.",8',NULL
Salicet,,"C-G staan in het front, Gis-c staan afgevoerd achter het front en cis-f³ staan op de lade. De binnenpijpen zijn voorzien van expressions.",8',NULL
Octaaf,,,4',NULL
Fluit,,"C-f zijn gedekt, fis-b zijn voorzien van roeren, de discant is open.",4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Cornet,D,"Acht-voetskoor is verwijderd.","4 st.","<table style="width: 200px;""> <tbody> <tr> <td>c&sup1;<br>8<br>4<br>2 2/3<br>1 3/5</td> </tr> </tbody> </table>""
Trompet,,"Heeft metalen stevels en koppen.",8',NULL
Holpijp,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal (gedekt).",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp.",8',NULL
Roerfluit,,"Van C-h voorzien van roeren, de overige pijpen zijn open, conisch.",4',NULL
Salicet,,"Geheel voorzien van expressions.",4',NULL
Prestant,,"C-d staat in het front, het vervolg staat op de lade.",8',NULL
Bourdon,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal. ",8',NULL
Salicet,,"C-G staan in het front, Gis-c staan afgevoerd achter front en cis-f3 op de lade. De binnenpijpen van dit register zijn voorzien van expressions. ",8',NULL
Octaaf,,,4',NULL
Fluit,,"C-f zijn gedekt, fis-b zijn voorzien van roeren, de discant is open. ",4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Cornet,D,"Het acht-voets koor is open (1982), ook het overige pijpwerk is cilindrisch, open. ","4 st.","<table style="width: 200px;""> <tbody> <tr> <td> <p>c&sup1;<br>8<br>4<br>2 2/3<br>1 3/5</p> <p>&nbsp;</p> </td> </tr> </tbody> </table>""
Trompet,,"Heeft metalen stevels en koppen.",8',NULL
Holpijp,,"Het groot octaaf is van grenen, de overige pijpen zijn van metaal (gedekt). ",8',NULL
"Viola di Gamba",,"Is van C-H gecombineerd met de Holpijp. ",8',NULL
Roerfluit,,"Is van C-h voorzien van roeren, de overige pijpen zijn open, conisch. ",4',NULL
Salicet,,"Is geheel voorzien van expressions.",4',NULL
Bourdon,,,16',NULL
Prestant,,,8',NULL
Fluit,,,8',NULL
Dolce,,,8',NULL
Octaaf,,,4',NULL
Doublet,,,2',NULL
Trompet,,,8',NULL
Holpijp,,,8',NULL
"Viola di Gamba",,,8',NULL
Violine,,,4',NULL
Piccolo,,,2',NULL
"Basson Hobo",,,8',NULL
Subbas,,,16',NULL
Octaaffluit,,,8',NULL
"Voix Céleste",,,8',NULL
Bourdon,,,8',NULL
Prestant,,,4',NULL
Salicionaal,,,8',NULL
Zweving,,gedekt,8',NULL
"Nachthoorn gedekt",,,4',NULL
Subbas,,,16',NULL
Gedekt,,,8',NULL
Fluit,,,4',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
Mixtuur,,,"3-4 st.",NULL
Gedekt,,,8',NULL
Roerfluit,,,4',NULL
Prestant,,,2',NULL
Subbas,,,16',NULL
Gedekt,,"gecombineerd met Subbas 16'",8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
Mixtuur,,,"3-4 st.",NULL
Gedekt,,,8',NULL
Roerfluit,,,4',NULL
Prestant,,,2',NULL
Subbas,,,16',NULL
Gedekt,,"gecombineerd met Subbas",8',NULL
Bourdon,B/D,"Deling B/D tussen d en dis. C-h zijn van Amerikaans grenen, C-G zijn tegen de linker zijwand opgesteld.",16',NULL
Prestant,,"C-f¹ staan in de onderste tussenvelden ( vier aan de C-kant, respectievelijk vijf aan de Cis-kant). Expressions zijn toegepast tot en met cis³.",8',NULL
Holpijp,,"C-H zijn van Amerikaans grenen.",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp. Bij alle pijpen zijn expressions toegepast.",8',NULL
Octaaf,,"C-d² voorzien van expressions.",4',NULL
Fluit,,"Is gedekt, het hoogste octaaf is open, conisch.",4',NULL
Octaaf,,"Van C-cis¹ zijn expressions toegepast.",2',NULL
Cornet,D,"Is op de lade geplaatst; alle koren bestaan uit open pijpen. Bij de Cornet 4' zijn van c¹-f² , bij de Cornet 2 2/3' van c¹-b¹ en bij de Cornet 1 3/5' bij c¹ en cis¹ expressions toegepast.","3 st.","<table style="width: 200px;""> <tbody> <tr> <td>c&sup1;<br>4<br>2 2/3<br>1 3/5</td> </tr> </tbody> </table> <p>&nbsp;</p>""
Trompet*,D,"Geen pijpwerk aanwezig.",8',NULL
Bourdon,B/D,"Deling B/D tussen d en dis. C-h zijn van Amerikaans grenen, waarvan C-G tegen de linker zijwand zijn opgesteld.        ",16',NULL
Prestant,,"C-f¹ staan in de onderste tussenvelden ( vier aan de C-kant, respectievelijk vijf aan de Cis-kant). Expressions zijn toegepast tot en met cis³.",8',NULL
Holpijp,,"C-H zijn van Amerikaans grenen.",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp. Bij alle pijpen zijn expressions toegepast.",8',NULL
Octaaf,,"C-d² voorzien van expressions.",4',NULL
Fluit,,"Is gedekt, het hoogste octaaf is open, conisch. ",4',NULL
Octaaf,,"Van C-cis¹ zijn expressions toegepast.",2',NULL
Cornet,D,"De Cornet is op de lade geplaatst; alle koren bestaan uit open pijpen. Bij de Cornet 4' (c1-f2), bij de Cornet 2 2/3' (c1-b1) en bij de Cornet 1 3/5' (c1 en cis1) zijn expressions toegepast.","3 st.","<table style="width: 200px;""> <tbody> <tr> <td>c&sup1;<br>4<br>2 2/3<br>1 3/5</td> </tr> </tbody> </table>""
Trompet*,,"Geen pijpwerk aanwezig.",8',NULL
Bourdon,B/D,"Deling B/D tussen d en dis. C-h zijn van Amerikaans grenen, waarvan C-G tegen de linker zijwand zijn opgesteld",16',NULL
Prestant,,"C-f¹ staan in de onderste tussenvelden ( vier aan de C-kant, respectievelijk vijf aan de Cis-kant). Expressions zijn toegepast tot en met cis³.",8',NULL
Holpijp,," C-H zijn van Amerikaans grenen.",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp. Bij alle pijpen zij expresions toegepast",8',NULL
Octaaf,,"C-d² voorzien van expressions.",4',NULL
Fluit,,"Is gedekt, het hoogste octaaf is open, conisch. ",4',NULL
Octaaf,,"C-cis¹ zijn expressions toegepast.",2',NULL
Cornet,D,"Is op de lade geplaatst; alle koren bestaan uit open pijpen. Expressions zijn toegepast bij de Cornet 4' (c1-f2), bij de Cornet 2 2/3' (c1-b1) en bij de Cornet 1 3/5' (c1 en cis1).","3 st.","<table style="width: 200px;""> <tbody> <tr> <td>c&sup1;<br>4<br>2 2/3<br>1 3/5</td> </tr> </tbody> </table>""
Trompet*,,"Geen pijpwerk aanwezig.",8',NULL
Bourdon,B/D,"Deling B/ tussen d en dis. C-h zijn van Amerikaans grenen, waarvan C-G tegen de linker zijwand zijn opgesteld.",16',NULL
Prestant,,"C-f¹ staan in de onderste tussenvelden ( vier aan de C-kant, respectievelijk vijf aan de Cis-kant). Expressions zijn toegepast tot en met cis³.",8',NULL
Holpijp,,"C-H zijn van Amerikaans grenen.",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp. Bij alle pijpen zijn expressions toegepast.",8',NULL
Octaaf,,"C-d² voorzien van expressions.",4',NULL
Fluit,,"Is gedekt, het hoogste octaaf is open, conisch.",4',NULL
Octaaf,,"Van C-cis¹ zijn expressions toegepast.",2',NULL
Cornet,D,"Is op de lade geplaatst; alle koren bestaan uit open pijpen. Bij de Cornet 4' zijn van c¹-f² , bij de Cornet 2 2/3' van c¹-b¹ en bij de Cornet 1 3/5' bij c¹ en cis¹ expressions toegepast.","3 st.","<table style="width: 200px;""> <tbody> <tr> <td>c&sup1;<br>4<br>2 2/3<br>1 32\5</td> </tr> </tbody> </table>""
Trompet*,,"Geen pijpen aanwezig.",8',NULL
Bourdon,B/D,"Deling B/D tussen d en dis.  C-h zijn van Amerikaans grenen, waarvan C-G tegen de linker zijwand zijn opgesteld. ",16',NULL
Prestant,,"C-f¹ staan in de onderste tussenvelden ( vier aan de C-kant, respectievelijk vijf aan de Cis-kant). Expressions zijn toegepast tot en met cis³.",8',NULL
Holpijp,,"C-H zijn van Amerikaans grenen.",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp. Bij alle pijpen zijn expressions toegepast.",8',NULL
Octaaf,,"C-d² voorzien van expressions.",4',NULL
Fluit,,"Is gedekt, het hoogste octaaf is open, conisch.",4',NULL
Octaaf,,"Van C-cis¹ zijn expressions toegepast.",2',NULL
Cornet,D,"Is op de lade geplaatst; alle koren bestaan uit open pijpen. Bij de Cornet 4' zijn van c¹-f² , bij de Cornet 2 2/3' van c¹-b¹ en bij de Cornet 1 3/5' bij c¹ en cis¹ expressions toegepast.","3 st.","<table style="width: 200px;""> <tbody> <tr> <td>c&sup1;<br>4<br>2 2/3<br>1 3/5</td> </tr> </tbody> </table>""
Trompet*,,"Geen pijpwerk aanwezig.",8',NULL
Bourdon,B/D,"Deling B/D tussen d en dis. C-h zijn van Amerikaans grenen, C-G zijn tegen de linker zijwand opgesteld.",16',NULL
Prestant,,"C-f¹ staan in de onderste tussenvelden ( vier aan de C-kant, respectievelijk vijf aan de Cis-kant). Expressions zijn toegepast tot en met cis³.",8',NULL
Holpijp,,"C-H zijn van Amerikaans grenen.",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp. Bij alle pijpen zijn expressions toegepast.",8',NULL
Octaaf,,"C-d² voorzien van expressions.",4',NULL
Fluit,,"Is gedekt, het hoogste octaaf is open, conisch.",4',NULL
Octaaf,,"Van C-cis¹ zijn expressions toegepast.",2',NULL
Cornet,D,"Is op de lade geplaatst; alle koren bestaan uit open pijpen. Bij de Cornet 4' zijn van c¹-f² , bij de Cornet 2 2/3' van c¹-b¹ en bij de Cornet 1 3/5' bij c¹ en cis¹ expressions toegepast.","3 st.","<table style="width: 200px;""> <tbody> <tr> <td> <p>c&sup1;<br>4<br>2 2/3<br>1 3/5</p> </td> </tr> </tbody> </table>""
Trompet*,,"Geen pijpwerk aanwezig.",8',NULL
Bourdon,B/D,"Deling B/D tussen d en dis. C-h zijn van Amerikaans grenen, C-G zijn tegen de linker zijwand opgesteld.",16',NULL
Prestant,,"C-f¹ staan in de onderste tussenvelden ( vier aan de C-kant, respectievelijk vijf aan de Cis-kant). Expressions zijn toegepast tot en met cis³.",8',NULL
Holpijp,,"C-H zijn van Amerikaans grenen.",8',NULL
"Viola di Gamba",,"Van C-H gecombineerd met de Holpijp. Bij alle pijpen zijn expressions toegepast.",8',NULL
Octaaf,,"C-d² voorzien van expressions.",4',NULL
Fluit,,"Is gedekt, het hoogste octaaf is open, conisch.",4',NULL
Octaaf,,"Van C-cis¹ zijn expressions toegepast.",2',NULL
Cornet,D,"Is op de lade geplaatst; alle koren bestaan uit open pijpen. Bij de Cornet 4' zijn van c¹-f² , bij de Cornet 2 2/3' van c¹-b¹ en bij de Cornet 1 3/5' bij c¹ en cis¹ expressions toegepast.","3 st.","<table style="width: 200px;""> <tbody> <tr> <td>c&sup1;<br>4<br>2 2/3<br>1 3/5</td> </tr> </tbody> </table>""
Trompet,,"Geen pijpwerk aanwezig.",8',NULL
"Gedekt B/D",,,8',NULL
"Roerfluit B/D",,,4',NULL
"Prestant B/D",,,2',NULL
"Cymbel B/D",,,"2 st.","<ul> <li>C: 1/2'.&nbsp;</li> <li>H: 2/3'.</li> <li>gis&deg;: 1'.</li> <li>c1:&nbsp; 1' -&nbsp; 2/3'.</li> <li>fis: &nbsp; 1&nbsp; 1/3' -&nbsp; 1'.</li> <li>e2: &nbsp; 2' -&nbsp; 1&nbsp; 1/3'.&nbsp;</li> </ul>"
"Gedekt B/D",,,8',NULL
"Roerfluit B/D",,,4',NULL
"Prestant B/D",,,2',NULL
"Cymbel B/D",,,"2 st.","<ul> <li>C: 1/2'</li> <li>H: 2/3'</li> <li>gis&deg;: 1'</li> <li>C1: 1' - 2'/3'</li> <li>fis1: 1&nbsp; 1/3' - 1'</li> <li>e2: 2' - 1&nbsp; 1/3'</li> </ul>"
"Gedekt B/D",,,8',NULL
"Roerfluit B/D",,,4',NULL
"Prestant B/D",,,2',NULL
"Cymbel B/D",,,"2 st.","<ul> <li>C: 1/2'</li> <li>H: 2/3'</li> <li>gis&deg;:&nbsp; 1'</li> <li>c1: 1' - 2/3'</li> <li>fis1: 1&nbsp; 1/3' - 1'</li> <li>e2:&nbsp; 2' - 1&nbsp; 1/3'</li> </ul>"
"Gedekt B/D",,,8',NULL
"Roerfluit B/D",,,4',NULL
"Prestant B/D",,,2',NULL
"Cymbel B/D",,,"2 st.","<ul> <li>C:&nbsp; 1/2'</li> <li>H:&nbsp; 2/3'</li> <li>gis&deg;: 1'</li> <li>c1:&nbsp; 1' - 2/3'</li> <li>fis1:&nbsp; 1&nbsp; 1/3' - 1'</li> <li>e2:&nbsp;&nbsp;&nbsp; 2' - 1&nbsp; 1/3'</li> </ul>"
Bourdon,,"De Bourdon 16' is van C-d1 van hout, de overige pijpen zijn van metaal. Van dit register fungeren C-f1 ook als Subbass 16'; deze pijpen staan op een aparte lade tegen de achterwand van de kas.",16',NULL
Prestant,,"De Prestant 8' staat van C-c1 in het front (zink), de overige pijpen zijn van metaal en staan op de lade.",8',NULL
Holpijp,,"Het groot en klein octaaf zijn afkomstig uit het eerdere orgel. Het groot octaaf is van hout (gedekt), het vervolg is van metaal. ",8',NULL
Octaaf,,,4',NULL
Fluit,,,4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Mixtuur,,"Pijpwerk afkomstig van een eerdere orgel (1832). Het oude pijpwerk is voorzien van geperste labia; de open pijpen hebben - voorzover ze niet zijn gewijzigd - expressions.","3-4 st.","<table style="width: 200px;""> <tbody> <tr> <td style=""width: 45px;"">C<br>2<br>1 1/3<br>1</td> <td style=""width: 40.2167px;"">c<br>2 2/3<br>2<br>1 1/3</td> <td style=""width: 90.7833px;"">c&sup1;<br>4<br>2 2/3<br>2</td> </tr> </tbody> </table>""
Trompet,,,8',NULL
Holpijp,,"Het groot octaaf is van hout (gedekt), het vervolg is van metaal. ",8',NULL
"Fiool di Gamba",D,,8',NULL
Prestant,,,4',NULL
Roerfluit,,"Pijpwerk afkomstig van het eerdere orgel (1832). C-E zijn voorzien van inwendige roeren, F-f2 hebben uitwendige roeren, het vervolg is open, conisch.",4',NULL
Gemshoorn,,,2',NULL
Dulciaan,,,8',NULL
Bourdon,,"De dertien grootste pijpen zijn afkomstig uit het eerdere orgel (1866). Van C-d1 van hout, de overige pijpen zijn van metaal. Van dit register fungeren C-f1 ook als Subbass 16'; deze pijpen staan op een aparte lade tegen de achterwand van de kas.",16',NULL
Prestant,,"Van C-c1 in het front (zink), de overige pijpen zijn van metaal en staan op de lade. ",8',NULL
Holpijp,,"In het groot octaaf gecombineerd met de Vox Celeste 8' (zink).",8',NULL
"Viola di Gamba",,"Groot octaaf gecombineerd met Viola di Gamba 8' (zink).",8',NULL
"Vox Celeste",,"Het groot octaaf is van hout (gedekt), het vervolg is van metaal.",8',NULL
Aeoline,,,8',NULL
Octaaf,,,4',NULL
Subbas,,"Transmissie met C-f¹ van Bourdon 16'.","16' tr",NULL
Bourdon,,"De dertien grootste pijpen zijn afkomstig uit het eerdere orgel (1866). Van C-d1 van hout, de overige pijpen zijn van metaal. Van dit register fungeren C-f1 ook als Subbass 16'; deze pijpen staan op een aparte lade tegen de achterwand van de kas.",16',NULL
Prestant,,"Van C-c1 in het front (zink), de overige pijpen zijn van metaal en staan op de lade. ",8',NULL
Holpijp,,"In het groot octaaf gecombineerd met de Vox Celeste 8' (zink).",8',NULL
"Viola di Gamba",,"Groot octaaf gecombineerd met Viola di Gamba 8' (zink).",8',NULL
"Vox Celeste",,,8',NULL
Aeoline,,"Staat op een aparte lade. C-E zijn voorzien van inwendige roeren, F-f2 hebben uitwendige roeren, het vervolg is open, conisch.",8',NULL
Octaaf,,"Het groot octaaf is van hout (gedekt), het vervolg is van metaal.",4',NULL
Roerfluit,,,4',NULL
Mixtuur,,"Staat op een aparte lade.","3 st.","<table style="width: 200px;""> <tbody> <tr> <td style=""width: 40px;"">C<br>2<br>1 1/3<br>1</td> <td style=""width: 42.4833px;"">c<br>2 2/3<br>2<br>1 1/3</td> <td style=""width: 94.5167px;"">c1<br>4<br>2 2/3<br>2</td> </tr> </tbody> </table>""
Subbas,,"Transmissie met C-f¹ van Bourdon 16'.","16  tr",NULL
Bourdon,,"De dertien grootste pijpen zijn afkomstig uit een eerder orgel (1866). Van C-d1 van hout, de overige pijpen zijn van metaal. Van dit register fungeren C-f1 ook als Subbass 16'; deze pijpen staan op een aparte lade tegen de achterwand van de kas.",16',NULL
Prestant,,"Van C-c1 in het front (zink), de overige pijpen zijn van metaal en staan op de lade. ",8',NULL
Holpijp,,"In het groot octaaf gecombineerd met de Vox Celeste 8' (zink).",8',NULL
"Viola di Gamba",,"Groot octaaf gecombineerd met Viola di Gamba 8' (zink).",8',NULL
"Vox Celeste",,"Het groot octaaf is van hout (gedekt), het vervolg is van metaal.",8',NULL
Octaaf,,,4',NULL
Roerfluit,,"Staat op een aparte lade. C-E zijn voorzien van inwendige roeren, F-f² hebben uitwendige roeren, het vervolg is open, conisch.",4',NULL
Quint,,"Is gemaakt van de oude Aoline 8' en begint op c.","2  2/3'",NULL
Mixtuur,,,"3 st.","<table style="width: 200px;""> <tbody> <tr> <td style=""width: 41px;"">C<br>2<br>1 1/3<br>1</td> <td style=""width: 45.2167px;"">c<br>2 2/3<br>2<br>1 1/3</td> <td style=""width: 89.7833px;"">c1<br>4<br>2 2/3<br>2</td> </tr> </tbody> </table> <p>&nbsp;</p>""
Bourdon,,"De dertien grootste pijpen zijn afkomstig uit het eerdere orgel (1866). Van C-d¹ van hout, de overige pijpen zijn van metaal. Van dit register fungeren C-f¹ ook als Subbass 16'; deze pijpen staan op een aparte lade tegen de achterwand van de kas.",16',NULL
Prestant,,"Van C-c¹ in het front (zink), de overige pijpen zijn van metaal en staan op de lade. ",8',NULL
Holpijp,,"Het groot octaaf is van hout (gedekt), het vervolg is van metaal.",8',NULL
"Viola di Gamba",,"In het groot octaaf gecombineerd met de Vox Celeste 8' (zink).",8',NULL
"Vox Celeste",,"Groot octaaf gecombineerd met Viola di Gamba 8' (zink).",8',NULL
Octaaf,,,4',NULL
Roerfluit,,"Staat op een aparte lade. C-E zijn voorzien van inwendige roeren, F-f² hebben uitwendige roeren, het vervolg is open, conisch.",4',NULL
Quint,,"Is gemaakt van de oude Aoline 8' en begint op c.","2  2/3'",NULL
Mixtuur,,,"3 sterk","<table style="width: 151.083px;""> <tbody> <tr> <td style=""width: 41px;"">C<br>2<br>1 1/3<br>1</td> <td style=""width: 42px;"">c<br>2 2/3<br>2<br>1 1/3</td> <td style=""width: 43.0833px;"">c1<br>4<br>2 2/3<br>2</td> </tr> </tbody> </table> <p>&nbsp;</p>""
Subbas,,,"16  tr",NULL
Praestant,D,,8',NULL
Holpyp,,,8',NULL
Praestant,,,4',NULL
Fluit,,,4',NULL
Quint,,,3',NULL
Octaav,,,2',NULL
Sexqualter,D,,NULL,NULL
Mixtuur,,,NULL,"<table style="width: 200px;""> <tbody> <tr> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> </tr> </tbody> </table>""
Holpijp,,,8',NULL
Prestant,,,4',NULL
Fluit,,,4',NULL
Octaaf,,,2',NULL
Scherp,B/D,,"2 st.",NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
"Gedekte Fluit",,,4',NULL
Octaaf,,,2',NULL
Sesquialter,,,"2 st.",NULL
Mixtuur,,,"3 st.",NULL
Trompet,,,8',NULL
Holpijp,,,8',NULL
Prestant,,,4',NULL
Roerfluit,,,4',NULL
Speelfluit,,,2',NULL
Kwint,,,"1  1/3'",NULL
Scherp,,,"3 sterk",NULL
Dulciaan,,,8',NULL
Subbas,,,16',NULL
Octaaf,,,8',NULL
Gedekt,,,8',NULL
Prestant,,,4',NULL
Fagot,,,16',NULL
Dulciaan,,,8',NULL
Subbas,,,16',NULL
Gedekt,,,8',NULL
Fluit,,,4',NULL
Fluit,,,2',NULL
Nasard,,,"1 1/3'",NULL
Prestant,,,8',NULL
Holpijp,,,8',NULL
Octaaf,,,4',NULL
Octaaf,,,2',NULL
Mixtuur,,,"2 st.",NULL
Trompet,,,8',NULL
Praestant,,,8',NULL
Gedekt,,,8',NULL
Fluyte,,,4',NULL
Fluyte,,,2',NULL
Nasard,,,"1  1/3'",NULL
Holpijp,,,8',NULL
Octaav,,,4',NULL
Octaav,,,2',NULL
Mixtuyre,,,"2 sterk",NULL
Trompet,,,8',NULL
Subbas,,,16',NULL
Subbas,,,16',NULL
Octaaf,,,8',NULL
Gedekt,,,8',NULL
Fluit,,,4',NULL
Fluit,,,2',NULL
Nasard,,,"1 1/3'",NULL
Prestant,,,8',NULL
Holpijp,,,8',NULL
Octaaf,,,4',NULL
Octaaf,,,2',NULL
Mixtuur,,,"2 st.",NULL
Trompet,,,8',NULL
Subbas,,,16',NULL
Octaaf,,,8',NULL
Gedekt,,,8',NULL
Fluit,,,4',NULL
Fluit,,,2',NULL
Nasard,,,"1 1/3'",NULL
Prestant,,,8',NULL
Holpijp,,,8',NULL
Octaaf,,,4',NULL
Octaaf,,,2',NULL
Mixtuur,,,"2 st.",NULL
Trompet,,,8',NULL
Subbas,,,16',NULL
Gedekt,,,8',NULL
Fluyte,,,4',NULL
Fluyte,,,2',NULL
Nasard,,,"1  1/3'",NULL
Praestant,,,8',NULL
Holpijp,,,8',NULL
Octaav,,,4',NULL
Octaav,,,2',NULL
Mixtuyre,,,"2 sterk",NULL
Trompet,,,8',NULL
Subbas,,,16',NULL
Octaaf,,,8',NULL
Gedekt,,,8',NULL
Prestant,,,4',NULL
Fagot,,,16',NULL
Dulciaan,,,4',NULL
Holpijp,,,8',NULL
Prestant,,,4',NULL
Roerfluit,,,4',NULL
Speelfluit,,,2',NULL
Kwint,,,"1 1/3'",NULL
Scherp,,,"3 st.",NULL
Dulciaan,,,8',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
"Gedekte Fluit",,,4',NULL
Octaaf,,,2',NULL
Sesquialter,,,"2 st.",NULL
Mixtuur,,,"3 st.",NULL
Trompet,,,8',NULL
Prestant,,,8',NULL
Holpijp,,,8',NULL
Octaaf,,,4',NULL
Roerfluit,,,4',NULL
Octaaf,,,2',NULL
